flower,poem_count,c2_pleasure,c2_favour,c2_surprise,c2_sadness,c2_disgust,c3_ease,c3_joy,c3_praise,c3_like,c3_faith,c3_wish,c3_peculiar,c3_sorrow,c3_miss,c3_fear,c3_guilt,c3_criticize,c3_anger,c3_vexed,c3_misgive,dominant_c3,dominant_c3_zh,pos_ratio,neg_ratio,neutral_ratio
梅花,161,0.024273,0.133002,0.000554,0.033832,0.042753,0.006555,0.017719,0.105577,0.022672,0.003335,0.001417,0.000554,0.026772,0.002662,0.003542,0.000856,0.036514,0.000185,0.00543,0.000625,praise,赞美,0.6708,0.0186,0.3106
菊花,109,0.021917,0.152692,0.001367,0.035164,0.042055,0.007205,0.014712,0.121517,0.027527,0.002038,0.00161,0.001367,0.027672,0.002082,0.004221,0.001189,0.035517,0.000378,0.005519,0.00064,praise,赞美,0.7982,0.055,0.1468
牡丹,53,0.024441,0.164931,0.000851,0.026755,0.033314,0.008276,0.016166,0.132994,0.026686,0.003425,0.001825,0.000851,0.020211,0.001016,0.003918,0.001611,0.027825,0.000517,0.003031,0.001941,praise,赞美,0.9057,0.0,0.0943
海棠,50,0.025621,0.16581,0.00069,0.025764,0.035763,0.007719,0.017903,0.130037,0.030539,0.004111,0.001123,0.00069,0.016097,0.002714,0.005075,0.001878,0.030714,0.000208,0.004213,0.000628,praise,赞美,0.84,0.0,0.16
木芙蓉,47,0.016664,0.14418,0.000382,0.02539,0.044828,0.00466,0.012004,0.12154,0.022266,-0.000205,0.000579,0.000382,0.021086,0.00156,0.001507,0.001238,0.037456,1.6e-05,0.006433,0.000923,praise,赞美,0.6596,0.0426,0.2979
桃花,45,0.033655,0.146924,0.001037,0.022028,0.037136,0.007367,0.026288,0.112309,0.029318,0.004156,0.00114,0.001037,0.015553,0.004343,0.001562,0.00057,0.030584,0.000205,0.004728,0.001619,praise,赞美,0.8444,0.0,0.1556
杨花,39,0.033052,0.12873,0.000534,0.033347,0.04548,0.007598,0.025454,0.09437,0.029801,0.002731,0.001827,0.000534,0.02712,0.002291,0.002901,0.001035,0.035898,0.000405,0.00816,0.001017,praise,赞美,0.6923,0.0256,0.2821
杏花,35,0.031873,0.136231,0.000399,0.024009,0.039542,0.006391,0.025482,0.110826,0.021623,0.002661,0.00112,0.000399,0.021102,0.000116,0.001955,0.000836,0.03388,0.00019,0.004923,0.000548,praise,赞美,0.6571,0.0286,0.3143
荷花,34,0.011606,0.135599,0.001316,0.03035,0.038263,0.002782,0.008824,0.112272,0.01903,0.003576,0.000721,0.001316,0.021212,0.002318,0.005057,0.001763,0.030163,0.000326,0.007123,0.000651,praise,赞美,0.7059,0.0294,0.2647
酴醿,26,0.02915,0.146273,0.000586,0.023889,0.039323,0.010047,0.019103,0.115856,0.02802,0.001499,0.000899,0.000586,0.014137,0.001233,0.008349,0.000171,0.034496,0.000116,0.00361,0.001101,praise,赞美,0.8462,0.0385,0.1154
桂花,26,0.016782,0.144269,0.000962,0.024919,0.044281,0.005173,0.011608,0.123147,0.018319,0.002011,0.000791,0.000962,0.01903,0.001456,0.004186,0.000248,0.040587,0.000188,0.00304,0.000466,praise,赞美,0.8077,0.0,0.1923
水仙花,23,0.018875,0.196282,0.000578,0.040225,0.040693,0.009702,0.009173,0.170477,0.022275,0.00259,0.000941,0.000578,0.029966,0.00209,0.005401,0.002768,0.031332,0.001416,0.007415,0.00053,praise,赞美,0.8696,0.0,0.1304
虞美人,23,0.019432,0.154112,0.000247,0.036817,0.03645,0.006306,0.013126,0.131342,0.021289,0.000884,0.000597,0.000247,0.02573,0.004633,0.005066,0.001388,0.029532,0.000231,0.005694,0.000992,praise,赞美,0.8261,0.0,0.1739
红梅,21,0.02898,0.138676,0.000377,0.039563,0.039588,0.006049,0.022931,0.105499,0.030843,0.001822,0.000512,0.000377,0.026158,0.004661,0.006373,0.002372,0.029455,0.001511,0.008022,0.000599,praise,赞美,0.7619,0.0952,0.1429
梨花,20,0.036775,0.141812,0.000477,0.043388,0.038387,0.011989,0.024786,0.111409,0.027186,0.002625,0.000592,0.000477,0.031091,0.008141,0.004119,3.8e-05,0.031399,0.000692,0.005629,0.000667,praise,赞美,0.85,0.0,0.15
蔷薇,19,0.027607,0.166931,0.000441,0.01622,0.039996,0.004798,0.02281,0.136844,0.029365,-0.000323,0.001046,0.000441,0.012402,0.002332,0.00134,0.000145,0.037819,0.0,0.001563,0.000614,praise,赞美,0.8947,0.0,0.1053
莲花,17,0.016791,0.135948,0.000209,0.023442,0.03212,0.003527,0.013264,0.11178,0.021755,0.00211,0.000302,0.000209,0.015224,0.00532,0.001512,0.001386,0.026738,0.000502,0.004101,0.000779,praise,赞美,0.8235,0.0,0.1765
樱桃花,17,0.041803,0.151545,0.000712,0.027593,0.029692,0.014883,0.02692,0.113975,0.035408,0.001286,0.000875,0.000712,0.023207,0.002134,0.002107,0.000145,0.021719,0.000295,0.006917,0.000761,praise,赞美,0.9412,0.0,0.0588
杜鹃,16,0.020531,0.153345,0.001672,0.024596,0.036686,0.002087,0.018444,0.124049,0.025692,0.003048,0.000558,0.001672,0.017941,0.001271,0.004969,0.000415,0.028519,0.00029,0.006913,0.000964,praise,赞美,0.8125,0.0,0.1875
芍药,16,0.028936,0.165852,0.001071,0.037592,0.034208,0.007545,0.021391,0.138828,0.02347,0.002827,0.000727,0.001071,0.024663,0.00502,0.007767,0.000142,0.02532,0.00028,0.006449,0.002159,praise,赞美,1.0,0.0,0.0
兰花,16,0.024135,0.123607,9.2e-05,0.023658,0.029168,0.004205,0.019929,0.10617,0.020612,-0.004128,0.000953,9.2e-05,0.018409,0.003374,0.000816,0.001058,0.02633,0.000316,0.001935,0.000588,praise,赞美,0.75,0.0,0.25
榴花,14,0.023811,0.155898,0.001011,0.033518,0.039427,0.006281,0.01753,0.123338,0.026748,0.004522,0.001291,0.001011,0.02945,0.002644,0.00097,0.000455,0.034282,0.000422,0.003483,0.00124,praise,赞美,0.7143,0.0,0.2857
茉莉,13,0.018774,0.154529,0.000792,0.014804,0.034613,0.006909,0.011865,0.137292,0.015383,0.00159,0.000264,0.000792,0.006039,0.00187,0.00673,0.000165,0.032576,5.1e-05,0.001583,0.000404,praise,赞美,1.0,0.0,0.0
山茶花,12,0.0289,0.180349,0.000597,0.022813,0.023776,0.011711,0.017189,0.144738,0.029438,0.005217,0.000956,0.000597,0.017678,6.8e-05,0.004092,0.000974,0.021206,0.000246,0.001836,0.000489,praise,赞美,1.0,0.0,0.0
玉簪花,12,0.012191,0.16811,0.001154,0.03266,0.030756,0.002278,0.009912,0.133728,0.030871,0.002029,0.001482,0.001154,0.02378,0.000639,0.007323,0.000917,0.025798,0.000383,0.003956,0.000619,praise,赞美,0.9167,0.0,0.0833
琼花,12,0.034846,0.141876,0.000626,0.037241,0.041428,0.008504,0.026343,0.096182,0.043202,0.001203,0.001289,0.000626,0.025443,0.001773,0.006048,0.003978,0.037094,0.000104,0.003828,0.000401,praise,赞美,0.6667,0.0,0.3333
蜡梅,11,0.016254,0.131753,0.00088,0.016997,0.039006,0.001026,0.015228,0.113406,0.011283,0.002101,0.004964,0.00088,0.015625,8.8e-05,0.001283,0.0,0.03417,0.000182,0.004067,0.000587,praise,赞美,0.9091,0.0,0.0909
蓼花,10,0.0165,0.123809,0.00047,0.030371,0.037957,0.008314,0.008187,0.097475,0.022951,0.002629,0.000754,0.00047,0.021855,0.002151,0.006365,0.0,0.032887,0.000181,0.004591,0.000298,praise,赞美,0.6,0.1,0.3
木槿,10,0.032742,0.138753,0.000251,0.04281,0.037832,0.009188,0.023554,0.115823,0.01783,0.00459,0.00051,0.000251,0.034585,0.001381,0.000597,0.006246,0.029606,0.000304,0.005747,0.002174,praise,赞美,0.7,0.0,0.3
月季,9,0.02505,0.201489,0.000121,0.014407,0.032704,0.002502,0.022548,0.175975,0.023862,0.001161,0.00049,0.000121,0.01303,0.000136,0.001309,-6.8e-05,0.030371,9.1e-05,0.002152,9.1e-05,praise,赞美,1.0,0.0,0.0
野菊,9,0.010732,0.14717,0.000676,0.043226,0.053968,0.005194,0.005537,0.119932,0.02454,0.00155,0.001149,0.000676,0.035009,0.000655,0.005747,0.001816,0.041981,0.001655,0.010067,0.000266,praise,赞美,0.5556,0.0,0.4444
萱草,7,0.026325,0.138574,0.000234,0.022316,0.053102,0.003142,0.023183,0.11557,0.017886,0.003803,0.001316,0.000234,0.021238,-0.000659,0.001535,0.000202,0.043365,0.0,0.00888,0.000857,praise,赞美,0.7143,0.0,0.2857
秋葵,7,0.009798,0.159546,0.000781,0.014989,0.037833,0.005575,0.004223,0.124497,0.032798,0.001083,0.001168,0.000781,0.008326,0.005258,0.001109,0.000295,0.029666,0.000104,0.007186,0.000878,praise,赞美,0.8571,0.0,0.1429
秋海棠,6,0.017608,0.173865,0.0,0.038454,0.018604,0.00843,0.009178,0.138099,0.02207,0.012688,0.001007,0.0,0.033334,0.004684,0.00014,0.000297,0.012246,0.000187,0.004638,0.001533,praise,赞美,1.0,0.0,0.0
辛夷,6,0.023304,0.151138,0.001424,0.055973,0.048712,0.003715,0.019588,0.10213,0.042564,0.005742,0.000702,0.001424,0.031477,0.00769,0.011434,0.005372,0.043463,0.004025,0.000759,0.000464,criticize,批判,0.3333,0.0,0.6667
合欢,6,0.013127,0.160752,0.0002,0.020139,0.030671,0.009367,0.00376,0.119525,0.037506,0.002767,0.000954,0.0002,0.011349,0.008603,0.000186,0.0,0.026535,0.0002,0.003297,0.000639,praise,赞美,1.0,0.0,0.0
李花,5,0.032322,0.130326,0.000985,0.02844,0.023952,0.004775,0.027546,0.101447,0.024008,0.003817,0.001054,0.000985,0.017533,0.002363,0.007571,0.000973,0.015039,0.000295,0.007943,0.000675,praise,赞美,0.8,0.0,0.2
牵牛花,5,0.025925,0.152622,0.00081,0.026182,0.056783,0.002217,0.023708,0.122681,0.028025,0.001401,0.000516,0.00081,0.016146,0.009166,0.00087,0.0,0.049063,0.000595,0.006851,0.000275,praise,赞美,0.8,0.0,0.2
玉兰,5,0.008387,0.224093,0.000672,0.023359,0.030051,0.002007,0.00638,0.184477,0.028593,0.00975,0.001273,0.000672,0.019588,0.000163,0.003345,0.000263,0.029073,0.0,0.000796,0.000181,praise,赞美,1.0,0.0,0.0
迎春花,5,0.031665,0.157856,0.008571,0.033052,0.040969,0.002189,0.029476,0.124413,0.029129,0.003024,0.001291,0.008571,0.032184,0.000254,0.000614,0.0,0.038323,0.000231,0.002032,0.000383,praise,赞美,0.8,0.0,0.2
瑞香,5,0.031381,0.205628,0.001294,0.02487,0.049274,0.003387,0.027994,0.167798,0.030939,0.006578,0.000314,0.001294,0.023691,0.0,0.00118,0.0,0.041195,0.002221,0.005278,0.000581,praise,赞美,1.0,0.0,0.0
菜花,4,0.023788,0.123424,0.0,0.036296,0.036125,0.003612,0.020176,0.090473,0.031008,0.001161,0.000782,0.0,0.020376,0.000934,0.014986,0.0,0.030292,0.0,0.005071,0.000763,praise,赞美,0.75,0.0,0.25
芦花,4,0.011952,0.073038,0.000226,0.038649,0.050725,0.002714,0.009238,0.050606,0.028529,-0.006364,0.000268,0.000226,0.022166,0.014339,0.001742,0.000402,0.045549,0.0,0.005177,0.0,praise,赞美,0.0,0.0,1.0
郁李花,4,0.04034,0.18057,0.000164,0.037445,0.06508,0.00344,0.0369,0.121574,0.05561,0.003385,0.0,0.000164,0.03045,0.0,0.006748,0.000247,0.049202,0.0,0.014988,0.000891,praise,赞美,0.75,0.0,0.25
金沙,4,0.013651,0.134862,0.000392,0.012479,0.039816,0.005564,0.008086,0.119606,0.01262,0.001284,0.001352,0.000392,0.010614,0.000659,0.000698,0.000509,0.03637,0.00065,0.002471,0.000325,praise,赞美,0.75,0.0,0.25
素馨,4,0.018024,0.160105,0.00026,0.032627,0.040347,0.005765,0.01226,0.136949,0.021003,0.001845,0.000308,0.00026,0.031112,0.000627,0.000888,0.0,0.032476,0.001233,0.006031,0.000608,praise,赞美,0.75,0.0,0.25
鸡冠花,4,0.022523,0.162691,0.002026,0.008315,0.011984,0.012055,0.010468,0.132495,0.026164,0.0031,0.000931,0.002026,0.007388,0.0,0.000926,0.0,0.009738,0.000476,0.001201,0.000568,praise,赞美,1.0,0.0,0.0
含笑,4,0.062566,0.108935,0.000575,0.052086,0.040232,0.002879,0.059688,0.066606,0.039136,0.00129,0.001903,0.000575,0.048936,0.000592,0.000915,0.001642,0.030556,0.000296,0.00938,0.0,praise,赞美,0.75,0.0,0.25
石竹,4,0.027,0.1268,0.000282,0.037952,0.04003,0.004202,0.022798,0.110561,0.010783,0.003231,0.002225,0.000282,0.031455,0.00119,0.005111,0.000196,0.036629,0.000393,0.002488,0.000521,praise,赞美,0.75,0.25,0.0
栀子花,3,0.032017,0.149281,-0.000135,0.015729,0.020896,0.02011,0.011906,0.13042,0.010934,0.001753,0.006174,-0.000135,0.014934,0.000271,0.000524,0.0,0.019523,0.0,0.000406,0.000967,praise,赞美,0.6667,0.0,0.3333
棠梨花,3,0.033804,0.154282,0.0,0.020232,0.061462,0.009905,0.023899,0.103451,0.034376,0.016142,0.000313,0.0,0.014369,0.001326,0.004537,0.0,0.057182,0.0,0.003605,0.000674,praise,赞美,0.6667,0.0,0.3333
雁来红,3,0.006148,0.151563,0.000186,0.026305,0.035016,0.001898,0.00425,0.134271,0.015992,0.000742,0.000557,0.000186,0.021006,0.004371,0.000928,0.0,0.03483,0.0,0.000186,0.0,praise,赞美,0.6667,0.0,0.3333
金钱花,3,0.00544,0.137833,0.0,0.010049,0.062215,0.002038,0.003402,0.128813,0.006589,0.001654,0.000778,0.0,0.006306,0.00199,0.001753,0.0,0.058461,0.001105,0.001991,0.000659,praise,赞美,0.3333,0.3333,0.3333
凤仙花,3,0.022602,0.178453,0.0,0.012211,0.013337,0.001388,0.021213,0.142966,0.034024,0.001076,0.000387,0.0,0.004287,0.0,0.007924,0.0,0.012775,0.0,0.000478,8.3e-05,praise,赞美,1.0,0.0,0.0
向日葵,3,0.008788,0.124028,0.0,0.05592,0.063351,0.006622,0.002165,0.09731,0.025891,0.000827,0.0,0.0,0.053698,0.001335,0.000887,0.0,0.057685,0.000891,0.003466,0.001308,sorrow,悲伤,0.3333,0.3333,0.3333
木兰,3,0.016455,0.182406,0.000807,0.027001,0.021193,0.003788,0.012666,0.147587,0.031368,0.003451,0.0,0.000807,0.025275,0.0,0.001726,0.0,0.019843,0.0,0.0,0.00135,praise,赞美,1.0,0.0,0.0
木棉花,3,0.013594,0.156211,0.000588,0.013881,0.057692,0.002103,0.011491,0.118535,0.018941,0.003656,0.015079,0.000588,0.013573,0.000206,0.0,0.000103,0.056236,0.000206,0.001045,0.000206,praise,赞美,1.0,0.0,0.0
玉蕊花,3,0.01895,0.159653,0.018776,0.033894,0.052217,0.01677,0.00218,0.124874,0.031837,0.002617,0.000325,0.018776,0.017936,0.014812,0.001146,0.0,0.049521,0.0,0.002199,0.000497,praise,赞美,0.6667,0.0,0.3333
紫薇,3,0.027954,0.19826,0.0,0.021037,0.046165,0.00121,0.026744,0.16741,0.028016,0.001483,0.001351,0.0,0.019537,0.000862,0.000638,0.0,0.043952,0.0,0.002213,0.0,praise,赞美,0.6667,0.0,0.3333
罂粟,2,0.02885,0.081036,0.0,0.026719,0.040839,0.001142,0.027708,0.054794,0.025591,0.00065,0.0,0.0,0.025982,0.0,0.000737,0.0,0.034321,0.0,0.006027,0.000491,joy,喜悦,0.5,0.0,0.5
玫瑰,2,0.012714,0.167274,0.0,0.006894,0.014621,0.003781,0.008933,0.133068,0.033604,0.000604,0.0,0.0,0.004891,0.000668,0.001336,0.0,0.012746,0.0,0.001874,0.0,praise,赞美,1.0,0.0,0.0
金银花,2,0.040247,0.105184,0.00261,0.026215,0.06409,0.002465,0.037781,0.088575,0.016609,0.0,0.0,0.00261,0.026215,0.0,0.0,0.0,0.063559,0.0,0.000531,0.0,criticize,批判,0.5,0.0,0.5
甘菊,2,0.008856,0.177062,0.000688,0.050028,0.045152,0.000906,0.007952,0.157211,0.016818,0.003033,0.0,0.000688,0.0479,0.001019,0.00111,0.0,0.041712,0.000688,0.001784,0.000969,praise,赞美,1.0,0.0,0.0
剪春罗,2,0.038284,0.14065,0.001022,0.031682,0.066848,0.004604,0.03368,0.106674,0.030388,0.002056,0.001531,0.001022,0.029134,0.002039,0.000508,0.0,0.062758,0.000508,0.002559,0.001022,praise,赞美,1.0,0.0,0.0
绣球花,2,0.015278,0.185134,0.0,0.037072,0.040252,0.002396,0.012882,0.15009,0.032876,0.001084,0.001084,0.0,0.02777,0.009303,0.0,0.0,0.0372,0.0,0.001312,0.00174,praise,赞美,1.0,0.0,0.0
秋兰,2,0.016134,0.142166,0.000518,0.027642,0.054274,0.013301,0.002833,0.10521,0.008513,0.02651,0.001934,0.000518,0.024809,0.001281,0.001552,0.0,0.050678,0.0,0.001281,0.002316,praise,赞美,0.5,0.0,0.5
蘋花,2,0.007309,0.102063,0.000873,0.039821,0.049914,0.00146,0.005848,0.072462,0.02903,0.00057,0.0,0.000873,0.014633,0.024014,0.001175,0.0,0.048471,0.0,0.001158,0.000286,criticize,批判,0.0,0.0,1.0
木香,2,0.04035,0.141228,0.001984,0.013473,0.028975,0.003488,0.036862,0.132314,0.005608,0.003306,0.0,0.001984,0.011044,0.001368,0.00106,0.0,0.026946,0.0,0.0,0.00203,praise,赞美,0.5,0.0,0.5
桐花,2,0.02894,0.178515,0.000599,0.01164,0.039192,0.002722,0.026218,0.138316,0.025728,0.01447,0.0,0.000599,0.01164,0.0,0.0,0.0,0.039192,0.0,0.0,0.0,praise,赞美,1.0,0.0,0.0
棣棠,2,0.074904,0.195573,0.0,0.040213,0.02837,0.005026,0.069877,0.125929,0.067694,0.001676,0.000274,0.0,0.035802,0.001094,0.003318,0.0,0.025849,0.00141,0.001111,0.0,joy,喜悦,1.0,0.0,0.0
蜀葵,1,0.02984,0.087717,0.0,0.021428,0.055941,0.005608,0.024232,0.056008,0.025167,0.004673,0.001869,0.0,-0.001869,0.0,0.001869,0.021428,0.054072,0.0,0.0,0.001869,criticize,批判,0.0,0.0,1.0
楝花,1,-0.019514,0.132024,0.001914,0.004785,0.031955,0.0,-0.019514,0.080554,0.049556,0.0,0.001914,0.001914,0.004785,0.0,0.0,0.0,0.030041,0.0,0.0,0.001914,praise,赞美,1.0,0.0,0.0
曼陀罗,1,0.015985,0.106527,0.0,0.0,0.010345,0.000985,0.015,0.084138,0.021404,0.0,0.000985,0.0,0.0,0.0,0.0,0.0,0.00936,0.0,0.000985,0.0,praise,赞美,1.0,0.0,0.0
山枇杷,1,0.018881,0.145805,0.001248,0.027899,0.047656,0.011141,0.007739,0.105265,0.038668,0.001248,0.000624,0.001248,0.013044,0.001872,0.010205,0.002778,0.043942,0.0,0.003714,0.0,praise,赞美,1.0,0.0,0.0
绣球,1,0.007459,0.193823,0.0,0.001865,0.03355,0.001865,0.005594,0.147236,0.044722,0.001865,0.0,0.0,0.001865,0.0,0.0,0.0,0.027955,0.0,0.005594,0.0,praise,赞美,1.0,0.0,0.0
凌霄花,1,0.013082,0.183899,0.0,0.044277,0.058365,0.00805,0.005032,0.103899,0.035975,0.043019,0.001006,0.0,0.042264,0.0,0.002012,0.0,0.05434,0.001006,0.002012,0.001006,praise,赞美,1.0,0.0,0.0
滴滴金,1,0.024892,0.078067,0.0,0.044012,0.058731,0.000866,0.024026,0.025108,0.048052,0.003175,0.001732,0.0,0.043435,0.0,0.000577,0.0,0.052381,0.000577,0.004618,0.001154,like,喜爱,0.0,0.0,1.0
紫荆,1,-0.011084,0.168801,0.061248,0.002299,0.013793,0.005747,-0.016831,0.138177,0.026026,0.004598,0.0,0.061248,0.0,0.002299,0.0,0.0,0.013793,0.0,0.0,0.0,praise,赞美,1.0,0.0,0.0
水仙,1,0.003721,0.128815,0.0,0.024219,0.036002,0.003101,0.00062,0.120133,0.007442,0.00062,0.00062,0.0,0.024219,0.0,0.0,0.0,0.033522,0.0,0.00062,0.00186,praise,赞美,1.0,0.0,0.0
